address,shares,underlyingValue,yieldToken,yieldTokenName,yieldTokenSymbol
0x145c584f2f022997a9d0e5fcb4346042229525e1,1240631041963762466123,1358144764614052110867,0x0538c8bac84e95a9df8ac10aad17dbe81b9e36ee,vaDAI Pool,vaDAI
0x4050fb99522a60e9ab875935fcf6d211c17d98c3,1823248304038449085,1995948073975080647023896728705150915,0x0538c8bac84e95a9df8ac10aad17dbe81b9e36ee,vaDAI Pool,vaDAI
0x7d52b2b2aeda25a2acdabbc74bd9e2c30b4d36d7,13474818213738903489,14751165489255999982895897730245336511,0x0538c8bac84e95a9df8ac10aad17dbe81b9e36ee,vaDAI Pool,vaDAI
0x8e7a0b4c6550e22880081451c4f75e497e037e3e,8099123248821157,8866279712733239331998254625477686,0x0538c8bac84e95a9df8ac10aad17dbe81b9e36ee,vaDAI Pool,vaDAI
0x9be8ee7700bff356ed169e3a50dcd58c2c20b9a6,164676189026976939833,180274470344999999839,0x0538c8bac84e95a9df8ac10aad17dbe81b9e36ee,vaDAI Pool,vaDAI
0xc6411350766ed10630579da82d232bce7f33869c,8220727196416366230463,8999402099000000989876,0x0538c8bac84e95a9df8ac10aad17dbe81b9e36ee,vaDAI Pool,vaDAI
0xd2d24db10c43811302780e082a3e6f73a97ea48f,12356051698736555144796,13526428372594099430317796399860876215204,0x0538c8bac84e95a9df8ac10aad17dbe81b9e36ee,vaDAI Pool,vaDAI
0xffaa3cda4f169d33291dd9ddbea8578d1398430e,91731771542648228170,100420690000000000001,0x0538c8bac84e95a9df8ac10aad17dbe81b9e36ee,vaDAI Pool,vaDAI
0x048235a59c06b10f72cfca1aab571fb12d58e9f1,933756694609680,960415125141019923225059061515040,0x318334a6dd21d16a8442ab0b7204e81aa3fb416e,Static Aave FRAX,s_aFRAX
0xf872703f1c8f93fa186869bac83bac5a0c87c3c8,1037677781480994925,1067303123083594512945462926966521725,0x318334a6dd21d16a8442ab0b7204e81aa3fb416e,Static Aave FRAX,s_aFRAX
