address,shares,underlyingValue,yieldToken,yieldTokenName,yieldTokenSymbol
0x0e9b56201bb3ce364c354018b623ee03824e7414,22768822,23094370,0x059eaa296b18e0d954632c8242ddb4a271175eed,yearnStakingUsdc,ysUSDC
0x5ca51c0bb6dbdf29465daeb3f5dbd37074133467,13669112,13864539,0x059eaa296b18e0d954632c8242ddb4a271175eed,yearnStakingUsdc,ysUSDC
0x679e5dcee6ca444d5462fda03be6898208c3a1c6,270997,274871444109,0x059eaa296b18e0d954632c8242ddb4a271175eed,yearnStakingUsdc,ysUSDC
0x703a1be86986a333b02f6c4a85eeb0dded23b1b8,61175,62049618975,0x059eaa296b18e0d954632c8242ddb4a271175eed,yearnStakingUsdc,ysUSDC
0x8e437c286498dd2a6216ede8722e6b742e253269,48309237,48999914,0x059eaa296b18e0d954632c8242ddb4a271175eed,yearnStakingUsdc,ysUSDC
0xa58341b962c46e905eeafaea7ef809b34d836880,100317,101751232149,0x059eaa296b18e0d954632c8242ddb4a271175eed,yearnStakingUsdc,ysUSDC
0xe0842cde9616c1a8da04b087f7471fcfc3bca75a,369383,374661,0x059eaa296b18e0d954632c8242ddb4a271175eed,yearnStakingUsdc,ysUSDC
0xea84e1b96bbc06af9da27572f65f3a5740f32998,20080,20367083760,0x059eaa296b18e0d954632c8242ddb4a271175eed,yearnStakingUsdc,ysUSDC
0xfaa41900848b7f68f4859676432811e6fc46a15c,3945,3766019295,0x059eaa296b18e0d954632c8242ddb4a271175eed,yearnStakingUsdc,ysUSDC
0x0b047d8a08012dae90124c05d9be68605db34b68,3706745206399916601,3793729035393939827,0x0a86adbf58424ee2e304b395af0697e850730ecd,yearnStakingDai,ysDAI
0x3353ce7fb9eaf66690a0f402480c78359a7bedbf,189211660573951424,128903167196604182801147996169514176,0x0a86adbf58424ee2e304b395af0697e850730ecd,yearnStakingDai,ysDAI
0x3b15cec2d922ab0ef74688bcc1056461049f89cb,52213406421,53438665175628762844583453256,0x0a86adbf58424ee2e304b395af0697e850730ecd,yearnStakingDai,ysDAI
0x3bd5e344ac629c9f232f921bafdeeec312deac9b,7685488186096662838086,7865838642599793939294,0x0a86adbf58424ee2e304b395af0697e850730ecd,yearnStakingDai,ysDAI
0x426335ac63669689d541ec4aa4ff062013f67fe8,717705755503677244436,488947376282326297924827765786293704528,0x0a86adbf58424ee2e304b395af0697e850730ecd,yearnStakingDai,ysDAI
0x4570d5b4177cf209944e8e3fb1f2a77021ffd5c5,1217776214211888633262,1246352993049319087516,0x0a86adbf58424ee2e304b395af0697e850730ecd,yearnStakingDai,ysDAI
0x5773a379f9f9870e1498d3e84fd4797d6b038c63,1028248171643,700508867090126067801981317164,0x0a86adbf58424ee2e304b395af0697e850730ecd,yearnStakingDai,ysDAI
0x68053bce02a1f1fbf07d9963328cab731c9edc42,136626151844392,139832270734793517549471870197312,0x0a86adbf58424ee2e304b395af0697e850730ecd,yearnStakingDai,ysDAI
